label,message
ham,Hey how are you doing today
spam,Win money now!!! Click this link
ham,Let's meet tomorrow at college
spam,Congratulations you have won a free ticket
ham,Call me when you are free
spam,Limited offer buy now and get 50% off
ham,Did you finish the assignment
spam,You are selected for a cash prize claim now
ham,Good morning have a nice day
spam,Free entry in a contest win cash rewards
ham,See you in class today
spam,Exclusive deal just for you click now
ham,Can you send me the notes
spam,You won a lottery contact immediately
ham,Let's go for lunch
spam,Act fast limited time offer click here
ham,Where are you now
spam,Claim your reward before it expires
ham,Happy birthday have a great day
spam,Get rich quick with this simple trick
